algoritmo,orden,tamaño,tiempo
insertion_sort,creciente,1000,6.72370006213896e-05
insertion_sort,creciente,5000,0.000350469001205056
insertion_sort,creciente,10000,0.0008524219992978033
insertion_sort,creciente,15000,0.0008309319982799934
insertion_sort,creciente,20000,0.001127458999690134
insertion_sort,creciente,25000,0.0013884500003769062
insertion_sort,creciente,30000,0.0017843139994511148
insertion_sort,creciente,35000,0.0018996409999090247
insertion_sort,creciente,40000,0.0023551680005766684
insertion_sort,creciente,45000,0.0024829579997458495
insertion_sort,decreciente,1000,0.02173589400081255
insertion_sort,decreciente,5000,0.6222898609994445
insertion_sort,decreciente,10000,2.5084983500000817
insertion_sort,decreciente,15000,5.708100582998668
insertion_sort,decreciente,20000,10.258179405998817
insertion_sort,decreciente,25000,15.993664292000176
insertion_sort,decreciente,30000,23.019070452999586
insertion_sort,decreciente,35000,31.383729082999707
insertion_sort,decreciente,40000,41.4037768649996
insertion_sort,decreciente,45000,52.4516255489998
insertion_sort,aleatorio,1000,0.012250371000845917
insertion_sort,aleatorio,5000,0.32970065500012424
insertion_sort,aleatorio,10000,1.3092838169995957
insertion_sort,aleatorio,15000,2.8861508860009053
insertion_sort,aleatorio,20000,5.253931393999665
insertion_sort,aleatorio,25000,8.254385873000501
insertion_sort,aleatorio,30000,11.958788985000865
insertion_sort,aleatorio,35000,16.309728139998697
insertion_sort,aleatorio,40000,21.979351224999846
insertion_sort,aleatorio,45000,27.254112758999327
selection_sort,creciente,1000,0.01275136299955193
selection_sort,creciente,5000,0.31612048499846424
selection_sort,creciente,10000,1.0304086440009996
selection_sort,creciente,15000,2.3404668860002857
selection_sort,creciente,20000,3.9403295390002313
selection_sort,creciente,25000,6.455171435000011
selection_sort,creciente,30000,8.925972903998627
selection_sort,creciente,35000,12.387157778999608
selection_sort,creciente,40000,15.92487697100114
selection_sort,creciente,45000,20.572912954999993
selection_sort,decreciente,1000,0.010388410999439657
selection_sort,decreciente,5000,0.27093763900120393
selection_sort,decreciente,10000,1.1090080630001466
selection_sort,decreciente,15000,2.498583429998689
selection_sort,decreciente,20000,4.302077563999774
selection_sort,decreciente,25000,6.8145690110013675
selection_sort,decreciente,30000,9.60251773500022
selection_sort,decreciente,35000,13.023720512999716
selection_sort,decreciente,40000,17.075166794000324
selection_sort,decreciente,45000,21.685719559000063
selection_sort,aleatorio,1000,0.009889572000247426
selection_sort,aleatorio,5000,0.25208630800079845
selection_sort,aleatorio,10000,1.0387975960002223
selection_sort,aleatorio,15000,2.320582333999482
selection_sort,aleatorio,20000,4.245674575000521
selection_sort,aleatorio,25000,6.438540478000505
selection_sort,aleatorio,30000,9.517107912999563
selection_sort,aleatorio,35000,13.197851082999478
selection_sort,aleatorio,40000,17.312391142000706
selection_sort,aleatorio,45000,22.033303596999758
merge_sort,creciente,1000,0.0006972409992158646
merge_sort,creciente,5000,0.004625556000974029
merge_sort,creciente,10000,0.009434387000510469
merge_sort,creciente,15000,0.01654732000133663
merge_sort,creciente,20000,0.025853695999103365
merge_sort,creciente,25000,0.03680349199930788
merge_sort,creciente,30000,0.049357593001332134
merge_sort,creciente,35000,0.06386465700052213
merge_sort,creciente,40000,0.0800868949991127
merge_sort,creciente,45000,0.09753724300026079
merge_sort,decreciente,1000,0.000567237000723253
merge_sort,decreciente,5000,0.003787780999118695
merge_sort,decreciente,10000,0.009781149001355516
merge_sort,decreciente,15000,0.01721149799959676
merge_sort,decreciente,20000,0.026472379000551882
merge_sort,decreciente,25000,0.03738767899994855
merge_sort,decreciente,30000,0.05002041999978246
merge_sort,decreciente,35000,0.06420197099942015
merge_sort,decreciente,40000,0.08069550000072923
merge_sort,decreciente,45000,0.09824277900042944
merge_sort,aleatorio,1000,0.0006660830003966112
merge_sort,aleatorio,5000,0.004498526999668684
merge_sort,aleatorio,10000,0.011232458000449697
merge_sort,aleatorio,15000,0.019708763000380713
merge_sort,aleatorio,20000,0.030210836999685853
merge_sort,aleatorio,25000,0.04202795399942261
merge_sort,aleatorio,30000,0.056170211000790005
merge_sort,aleatorio,35000,0.07285690299977432
merge_sort,aleatorio,40000,0.09083335899958911
merge_sort,aleatorio,45000,0.10853973799930827
